campaign,npc,order,appear,leave
wilds,General_Maliya_Kaeyal,1,15049.5.20,
rugatha,Glen,1,15048.11.9,15048.11.10
rugatha,Glen,2,15048.11.12,
rugatha,Grenland_Folsen,1,15048.7.19,
rugatha,Grenland_Folsen,2,15048.7.21,15048.7.23
legends,Gustavo_Norman,1,15048.10.30,15048.10.30
rugatha,GuuGuu,1,15048.7.23,
rugatha,GuuGuu,2,15048.11.9,
wilds,Harrel_Mizel,1,15049.5.1,15049.5.4
lite,Hobb,1,15048.11.16,15048.11.17
legends,Hobb,2,15049.6.22,
legends,Hobb,3,15049.6.24,
plus,Indigo,1,15048.11.17,15050.11.20
plus,Indigo,2,15051.5.4,
plus,Iochi_Mari,1,15051.5.7,15051.5.9
plus,Iochi_Mari,2,15051.5.11,
lite,Jacob,1,15051.5.9,15051.5.10
legends,Jacob,2,15048.6.5,15048.6.5
rugatha,Jasmine_Warren,1,15048.7.19,
rugatha,Jasmine_Warren,2,15048.7.22,
rugatha,Jefferey_Berners,1,15048.11.8,15048.11.11
rugatha,Jefferey_Berners,2,15048.11.14,
rugatha,Jonathan,1,15048.11.7,
rugatha,Jonathan,2,15048.11.9,
lite,Jonathan,3,15048.11.16,15048.11.17
plus,Joseph,1,15051.5.8,
rugatha,Kahn,1,15048.11.7,15048.11.8
rugatha,Kevin_Bolden,1,15048.11.7,15048.11.8
rugatha,Kevin_Bolden,2,15048.11.10,15048.11.11
rugatha,Kevin_Bolden,3,15048.11.13,
lite,Kevin_Bolden,4,15048.12.3,
plus,Kevin_Bolden,5,15050.11.19,15050.11.20
rugatha,King_Benevol_II,1,15048.11.14,
lite,King_Benevol_II,2,15048.12.5,
lite,King_Elliot_IV,1,15048.12.2,
rugatha,King_Knicol,1,15048.7.23,15048.10.2
rugatha,King_Knicol,2,15048.11.7,
legends,Kojo,1,15048.12.3,15048.12.4
rugatha,Kubao,1,15048.7.22,15048.10.1
rugatha,Kubao,2,15048.11.10,15048.11.11
plus,Kubao,3,15048.11.17,15050.11.19
lite,Lady_Marian,1,15048.12.2,
lite,Lady_Marian,2,15048.12.5,15048.12.6
rugatha,Lance_Berners,1,15048.11.8,15048.11.11
rugatha,Lance_Berners,2,15048.11.14,15048.11.15
wilds,Laura_Fishburne,1,15049.3.21,
wilds,Leonard_Old_Pipe_Riversend,1,15049.3.22,15049.3.23
wilds,Leonard_Old_Pipe_Riversend,2,15049.3.25,
plus,Leslie_Grunfeld,1,15050.11.21,
rugatha,Lewis,1,15048.11.10,15048.11.12
lite,Lewis,2,15048.12.2,
legends,lil_lily,1,3152.6.23,3152.6.24
plus,Liliana,1,15051.5.6,15051.5.8
legends,Lord_Octavian_von_Oderick,1,3152.6.23,3152.6.24
brown,Lord_Wind,1,15048.11.16,15048.11.17
lite,Lumio,1,15051.10.18,
legends,Luny,1,15048.12.3,15048.12.4
lite,Lysien_Amoret,1,15051.9.14,15051.9.15
legends,Mafa,1,15048.12.3,15048.12.4
plus,Manbao,1,15050.11.19,15050.11.21
plus,Manbao,2,15051.5.3,
plus,Manbao,3,15051.5.5,15051.5.8
lite,Mango,1,15049.9.5,15049.9.7
lite,Mango,2,15051.5.9,15051.5.10
lite,Mango,3,15051.9.14,15051.9.15
lite,Mango,4,15051.10.15,
lite,Mango,5,15051.10.19,15051.10.20
legends,Marco,1,15048.6.5,15048.6.6
lite,Marcus_Jens,1,15048.12.2,15048.12.6
lite,Marcus_Jens,2,15049.9.3,15049.9.4
lite,Marcus_Jens,3,15049.9.6,
lite,Marianne_Jens,1,15048.12.3,15048.12.6
lite,Marianne_Jens,2,15051.5.9,
wilds,Maribel_Muddlewick,1,15049.3.22,15049.5.22
brown,Matilda,1,15048.11.17,15048.11.18
brown,Maylee,1,15048.11.17,15048.11.18
wilds,Mayor_Saerus_Pharyon,1,15049.5.20,
lite,Mayor_Thorne,1,15048.11.17,
plus,Melvin,1,15051.5.4,15051.5.5
lite,Mikkel_Drogskol,1,15051.5.9,15051.5.10
plus,Moore,1,15050.11.21,
rugatha,Mr_Flaerry,1,15048.10.1,15048.10.3
rugatha,Mr_Flaerry,2,15048.11.10,15048.11.11
rugatha,Mr_Flaerry,3,15048.11.14,
rugatha,Mr_Moon,1,15048.11.7,15048.11.15
plus,Mr_Moon,2,15048.11.16,
plus,Mr_Moon,3,15050.11.18,15050.11.20
brown,Mr_Muffins,1,15048.11.17,15048.11.20
legends,Norvelle,1,10836.4.1,
legends,Norvelle,2,10836.4.3,
wilds,Nylessa_Arylith,1,15049.5.1,15049.5.4
rugatha,Ona_Berners,1,15048.11.8,15048.11.11
rugatha,Ona_Berners,2,15048.11.14,
wilds,Oswald_Creighton,1,15049.3.22,15049.3.23
wilds,Oswald_Creighton,2,15049.3.25,
lite,Pamela_Yaso,1,15048.12.2,15048.12.3
legends,Pattie_Sylverome,1,15049.6.22,
legends,Pattie_Sylverome,2,15049.6.24,
plus,pc:Yi,1,15051.5.3,
plus,pc:Yi,2,15051.5.5,
wilds,Penny_Applewood,1,15049.3.22,15049.3.25
plus,Pete_Madison,1,15050.11.21,
brown,Peter,1,15048.11.17,
plus,Petra,1,15051.5.8,
lite,Phola,1,15049.9.4,15049.9.7
lite,Phola,2,15051.10.19,15051.10.20
wilds,President_Bonza,1,15049.5.20,15049.5.21
wilds,Professor_Peneo,1,15049.5.20,15049.5.21
lite,Py_Par,1,15051.10.19,15051.10.20
brown,Queenie,1,15048.11.18,15048.11.20
rugatha,RaLeer_the_Herder,1,15048.7.20,
lite,RaLeer_the_Herder,2,15048.12.5,15048.12.6
lite,RaLeer_the_Herder,3,15049.9.3,15049.9.7
lite,RaLeer_the_Herder,4,15051.5.9,
plus,Ralf,1,15051.5.6,15051.5.8
lite,Rashim,1,15048.12.2,
plus,Reese_Tig,1,15051.5.8,
wilds,Riley_Richmond,1,15049.3.20,15049.3.25
rugatha,Roline_Hughes,1,15048.11.10,15048.11.11
rugatha,Roline_Hughes,2,15048.11.15,
plus,Roline_Hughes,3,15048.11.16,
lite,Roline_Hughes,4,15048.12.2,15048.12.4
plus,Roline_Hughes,5,15050.11.19,15050.11.20
plus,Roline_Hughes,6,15051.5.4,
brown,Ronald_the_Magician,1,15048.11.20,
plus,Ronfello,1,15051.5.8,
rugatha,Rosa_Flaerry,1,15048.10.1,15048.10.2
rugatha,Rosa_Flaerry,2,15048.11.10,15048.11.11
rugatha,Rosa_Flaerry,3,15048.11.14,
rugatha,sammick_warren,1,15048.7.19,
rugatha,ScarFace,1,15048.11.8,15048.11.9
rugatha,ScarFace,2,15048.11.12,15048.11.14
rugatha,Sean,1,15048.11.12,
rugatha,Selene_Berners,1,15048.11.8,15048.11.11
wilds,Selyra_Arylith,1,15049.5.1,15049.5.3
wilds,Serathe_Arylith,1,15049.5.1,15049.5.4
rugatha,ShaDoom,1,15048.11.7,15048.11.8
rugatha,ShaDoom,2,15048.11.11,15048.11.12
rugatha,ShaDoom,3,15048.11.14,
plus,Shalan_Hartlow,1,15051.5.3,15051.5.4
lite,Sham,1,15048.12.4,
lite,Sham,2,15048.12.6,
lite,Sham,3,15049.9.6,
lite,Shifu,1,15049.9.4,
plus,Sigom_III,1,15051.5.7,
plus,Sora,1,15050.11.21,
plus,Speedy,1,15048.11.16,15048.11.17
wilds,Syr_Galaestrel_Freyeman,1,15049.5.20,
rugatha,Syr_Magnus,1,15048.10.1,
rugatha,Syr_Magnus,2,15048.10.3,
lite,Tam_Quorr,1,15051.10.15,
lite,Tam_Quorr,2,15051.10.17,15051.10.18
rugatha,The_Hooded_Figure,1,15048.7.18,
rugatha,The_Hooded_Figure,2,15048.7.23,
rugatha,The_Hooded_Figure,3,15048.11.8,
rugatha,The_Hooded_Figure,4,15048.11.10,15048.11.11
legends,The_Mother,1,10836.4.1,
legends,The_Mother,2,10836.4.3,
lite,The_Mother,3,15048.12.2,15048.12.4
lite,The_Mother,4,15049.9.6,15049.9.7
wilds,Theramond_Arylith,1,15049.5.1,15049.5.4
wilds,Thompson,1,15049.3.18,
wilds,Tina,1,15049.3.16,15049.3.18
rugatha,Trisha_of_Baylon,1,15048.7.23,15048.10.1
wilds,Twiggle,1,15049.3.17,15049.5.22
wilds,Vaelric_Arylith,1,15049.5.1,15049.5.4
wilds,Vaerodan_Arylith,1,15049.5.1,15049.5.3
plus,Valero_Berners,1,15050.11.21,
wilds,Varoen,1,15049.5.21,15049.5.22
rugatha,Xandria_the_Violet_of_Macksohn,1,15048.10.1,
rugatha,Xandria_the_Violet_of_Macksohn,2,15048.11.7,
rugatha,Xandria_the_Violet_of_Macksohn,3,15048.11.10,15048.11.11
rugatha,Xandria_the_Violet_of_Macksohn,4,15048.11.14,15048.11.15
plus,Xandria_the_Violet_of_Macksohn,5,15048.11.16,15048.11.17
lite,Yi,1,15048.12.2,15048.12.6
lite,Yi,2,15051.5.9,15051.5.10
plus,Yuki,1,15048.11.17,
plus,Yuki,2,15051.5.8,15051.5.9
plus,Yuki,3,15051.5.11,
plus,Yung,1,15048.11.16,15048.11.17
plus,Yung,2,15050.11.15,
legends,Zach,1,15021.12.10,
plus,Zek,1,15051.5.6,15051.5.7
